event_id,project_id,control_id,domain,parameter,severity,approved,maintenance_window,actor,environment,baseline_value,new_value,drift,risk_score,label
1,2,13,Endpoint,Real Time Protection,Low,1,0,Engineer,Development,VPN,Internal,1,15,Safe
2,2,3,Logging,System Logging,Critical,1,0,Engineer,Staging,AES256,Internal,1,60,Risky
3,3,14,Cloud,S3 Public Access,Low,0,0,Administrator,Production,Enabled,Public,1,55,Risky
4,3,11,Firewall,SSH Port,High,0,0,Engineer,Production,FALSE,FALSE,0,65,Risky
5,2,7,Firewall,RDP,Low,0,1,CI/CD,Production,Internal,AES128,1,50,Risky
6,1,16,Endpoint,Real Time Protection,High,1,1,Administrator,Development,FALSE,TRUE,1,30,Safe
7,1,6,Endpoint,Firewall,High,0,0,Administrator,Production,Enabled,Enabled,0,65,Risky
8,2,2,Firewall,RDP,Critical,0,0,Engineer,Production,Enabled,Disabled,1,90,Risky
9,1,4,Endpoint,Firewall,Critical,0,1,Administrator,Staging,FALSE,TRUE,1,70,Risky
10,3,16,Firewall,ICMP,Critical,1,1,Engineer,Production,AES256,FALSE,1,70,Risky
11,1,7,Database,Remote Access,Medium,0,0,Engineer,Development,Enabled,Internal,1,40,Safe
12,3,20,Database,Audit Logging,Low,0,1,Administrator,Production,AES256,AES128,1,50,Risky
13,3,11,Endpoint,USB Access,Medium,0,1,Administrator,Production,VPN,Enabled,1,60,Risky
14,2,1,Cloud,CloudTrail,Critical,1,0,CI/CD,Development,VPN,TRUE,1,50,Risky
15,3,18,Identity,Conditional Access,Low,0,1,Engineer,Staging,FALSE,TRUE,1,35,Safe
16,1,15,Logging,Log Retention,Low,0,1,Engineer,Development,AES256,AES128,1,25,Safe
17,1,17,Endpoint,Firewall,Low,1,1,Administrator,Development,TRUE,Public,1,10,Safe
18,3,2,Cloud,Security Group,High,1,1,CI/CD,Production,TRUE,Public,1,55,Risky
19,3,15,Identity,Password Length,Low,1,1,Engineer,Production,Enabled,Disabled,1,35,Safe
20,3,17,Database,Audit Logging,Low,1,0,Engineer,Development,VPN,FALSE,1,15,Safe
21,1,17,Logging,System Logging,High,1,1,Engineer,Production,FALSE,Internal,1,55,Risky
22,2,9,Database,Remote Access,Critical,1,0,Administrator,Development,Disabled,TRUE,1,50,Risky
23,1,18,Identity,Password Length,Low,1,1,CI/CD,Development,Internal,Public,1,10,Safe
24,3,1,Firewall,HTTPS Port,High,0,0,Administrator,Production,AES256,Enabled,1,75,Risky
25,3,4,Endpoint,Firewall,High,0,0,CI/CD,Development,AES256,FALSE,1,50,Risky
26,2,14,Firewall,ICMP,High,0,0,Engineer,Development,VPN,Enabled,1,50,Risky
27,2,18,Logging,System Logging,Critical,1,0,Administrator,Staging,Internal,AES128,1,60,Risky
28,1,7,Identity,MFA,Medium,0,0,Administrator,Development,VPN,TRUE,1,40,Safe
29,2,8,Firewall,ICMP,Medium,0,1,CI/CD,Development,Enabled,Enabled,0,25,Safe
30,1,11,Identity,MFA,High,1,0,Engineer,Production,Disabled,Internal,1,60,Risky
31,1,6,Endpoint,Real Time Protection,Low,0,0,Engineer,Staging,VPN,AES128,1,40,Safe
32,3,1,Endpoint,Firewall,Medium,1,0,CI/CD,Staging,Internal,Enabled,1,35,Safe
33,1,12,Database,Audit Logging,Medium,0,0,Engineer,Staging,FALSE,Enabled,1,50,Risky
34,1,18,Firewall,HTTPS Port,Medium,1,1,Engineer,Staging,Enabled,Public,1,30,Safe
35,1,18,Identity,Password Length,Critical,0,0,Administrator,Production,Disabled,Enabled,1,90,Risky
36,2,3,Endpoint,Real Time Protection,High,1,1,Administrator,Production,AES256,FALSE,1,55,Risky
37,2,13,Endpoint,Real Time Protection,Low,0,0,Administrator,Staging,Internal,Enabled,1,40,Safe
38,3,15,Identity,Conditional Access,Critical,0,0,Engineer,Staging,Enabled,TRUE,1,75,Risky
39,3,8,Identity,Password Length,Low,1,1,Administrator,Staging,FALSE,FALSE,0,10,Safe
40,2,9,Identity,Password Length,Low,1,0,Engineer,Production,TRUE,FALSE,1,40,Safe
41,2,3,Identity,MFA,Critical,1,1,CI/CD,Production,Internal,Enabled,1,70,Risky
42,2,17,Firewall,RDP,Critical,1,1,Administrator,Production,TRUE,Enabled,1,70,Risky
43,1,10,Cloud,Security Group,Medium,1,0,Engineer,Production,AES256,Internal,1,50,Risky
